Auteur;P1;Ecole_pays_1;P_Dates;Id
BERNUY LOUIS;Les editions d'art 'yvon' paris, 15, rue martel;;15;24861
BEROT JEAN MARIE;peintre et photographe. 123 rue montmartre, paris;;123;8810
BERT;avignon, léon & lévy, ou lévy et fils, ou lévy fils et cie, ou le sigle ll (louis levy), ou lévy et neurdein réunis : éditeur à paris, rayonnant sur toute la france et l'afrique du nord française. entre les deux guerres, s'intitule lévy et neurdein réunis, 44 rue letellier, paris. (https:--fr.wikipedia.org-wiki-éditeurs_français_de_cartes_postales);FRANCE;44;33661
BERTALL;Paris, 1820, soyons, 1882;FRANCE;1820-1882;2150
BERTALL & CIE;?, 1820, ?, 1882, photographe. rue boissy d'anglas, 33. ancienne rue de la madeleine.;;1820-1882-33;8909
BERTAT;;;;24682
BERTEAUX CH;;;;8480
BERTH;Éditeur à soissons;;;27018
BERTHAUD MICHEL;photographe. médaille d'or - 1889 - 9 rue cadet, 9 - paris;;1889-9-9;8934
BERTHAULT G;;;;14097
BERTHE;Éditeur à soissons;;;29593
BERTHE A;;;;14241
BERTHEAS P;;;;17179
BERTHIER PAUL;photographe. 15 quai malaquais, paris.;;15;8746
BERTHOME;;;;25040
BERTHOT LAURENT;;;;24677
BERTIER F DE;;;;24988
BERTILLON ALPHONSE;Paris, 1853, paris, 1914;;1853-1914;3251
BERTRAND A;;;;17670
BERTRAND CLAUDE JOSEPH ALEXANDRE;;;;20899
BERTRAND G;;;;29834
BERTRAND L;;;;24748
BERTRAND PAUL;photographe français dans les années 1920;FRANCE;1920;33663
BERTRAND ROBERT;;;;2627
BERTRAND VVE;;;;17348
BESSON H;;;;14800
BESSON PIERRE;france, 1951, nationalité : française;;1951;12075
BESSOT & GUDRIE;;;;20860
BESULLIERS;;;;20051
BEUGNON H;photographe du 19e siècle - legs du teil;;19;8840
BEUYS JOSEPH;krefeld, 1921, düsseldorf, 1986, nationalité : allemande;;1921-1986;11962
BEZ MICHEL;toulouse, 1951, : peintre officiel de la marine depuis 1987;FRANCE;1951-1987;27008
BIANCALANA T;;;;16099
BIANCAU J;;;;18815
BIASINI S M;;;;15974
BICHERON;;;;12397
BICK FRANÇOIS;;;;8541
BICK XAVIER;Photographe à auxonne vers 1900;;1900;8461
BIDA ALEXANDRE;Toulouse, 1813, buhl, 1895;FRANCE;1813-1895;33688
BIENAIME J;;;;14284
BIERE J;;;;27826
BILLAUD;;;;36075
BILLE;Éditeur à fontenay-sous-bois;;;28697
BINGHAM;villers-cotterêts, 1845, villers-sur-fère (?), 1903, élève de charles chaplin;FRANCE;1845-1903;30357
BINGHAM ROBERT JEFFERSON;1800 vers, 1870;FRANCE;1800-1870;18
BISHOP A M;;;;33689
BISHOP MICHAEL;?, 1946;ETATS-UNIS;1946;13184
BISSON;;;;17604
BISSON AUGUSTE ROSALIE;Paris, 1826, paris, 1900;FRANCE;1826-1900;13213
BISSON FRERES;;FRANCAISE;;23573
BISSON LOUIS AUGUSTE;1814 - 1876;FRANCE;1814-1876;13916
BIZOT E;;;;20202
BLAFORD & CIE;;;;23989
BLANC;;;;15241
BLANC & DEMILLY;;;;13214
BLANC C;;;;18530
